"Guid","Name","SBQQ__Action__c","SBQQ__Active__c","SBQQ__BrandButton__c","SBQQ__Class__c","SBQQ__ConditionsMet__c","SBQQ__Default__c","SBQQ__Description__c","SBQQ__DisplayOrder__c","SBQQ__EventHandlerName__c","SBQQ__IconClass__c","SBQQ__Icon__c","SBQQ__Label__c","SBQQ__Location__c","SBQQ__PageHandlerName__c","SBQQ__Page__c","SBQQ__ParentCustomAction__c","SBQQ__ReturnURL__c","SBQQ__TargetObject__c","SBQQ__Type__c","SBQQ__URLTarget__c","SBQQ__URL__c"
a4c412b0-25ff-4a78-a395-e5ff65731440,Reset Discounts - Quote,Reset Discounts,false,false,resetDiscBtn,All,false,"#N/A",908.0,onResetDiscounts,sf-icon-undo,undo,Reset Discounts,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
a64683aa-2423-4bf0-a165-e1bc0e352d88,Launch External,"#N/A",true,false,"#N/A",All,false,"#N/A",900.0,"#N/A","#N/A","#N/A",Launch External,Configurator,"#N/A",Product Configurator,"#N/A","#N/A","#N/A",Button,Popup,{!$Setup.GeneralSettings__c.ExternalConfigurationURL__c}
a69ceb43-2dbb-4ea0-9687-31116179d5a2,Delete Line,Delete Line,true,false,deleteBtn,All,false,"#N/A",994.0,onDeleteLine,sf-icon-delete,delete,Delete Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
af5f8a34-6a18-49b8-82a2-8c0778819113,Calculate,Calculate,true,false,calculateBtn,All,false,"#N/A",913.0,onFlagCalculate,"#N/A","#N/A",Calculate,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
afa93cf0-4bfe-4f0f-b21c-83f6047b2159,Cancel,Cancel,true,false,cancelBtn,All,false,"#N/A",915.0,onCancel,"#N/A","#N/A",Cancel,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
b054eaad-d2c2-4e70-9276-be4e39afa319,View Discount Schedule,View Discount Schedule,true,false,viewDSBtn,All,false,"#N/A",997.0,showDSModal,sf-icon-discountscheduleicons-02,discountscheduleicons-02,View Discount Schedule,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
b2e3a28a-1c5b-4a5b-9920-ce8e4847188d,Separator,"#N/A",true,false,"#N/A",All,false,"#N/A",914.0,"#N/A",sbToolSeparator,"#N/A",Add Products,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Separator,"#N/A","#N/A"
b45522b6-0894-42a5-ab57-8d0eb0a63e73,Add Recommendations,Add Recommendations,false,false,addRecommendedProductsBtn,All,false,"#N/A",920.0,onAddRecommendedProducts,"#N/A","#N/A",Add Recommendations,Quote/Group,"#N/A",Quote Line Editor,1cdb4b2c-5c17-477c-9d43-fecb6c8d49a0,"#N/A","#N/A",Button,"#N/A","#N/A"
b7fed53f-4e32-48cf-8a60-39cba7880f15,Renew Subscriptions,Renew Subscriptions,true,false,renewSubscriptionsBtn,All,false,"#N/A",903.0,onRenewSubscriptions,"#N/A","#N/A",Renew Subscriptions,Quote/Group,"#N/A",Quote Line Editor,1cdb4b2c-5c17-477c-9d43-fecb6c8d49a0,"#N/A","#N/A",Button,"#N/A","#N/A"
c8021ecc-d50b-4576-b28c-1369f7b1b58c,Optional: None - Quote,Optional: None,true,false,optionalNoneBtn,All,false,"#N/A",910.0,updateLineOptional,sb-icon-dot-circled,dot-circled,Optional: None,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
d2468086-5672-4d95-baf2-c1e81a5d5a7f,Ungroup,Ungroup,true,false,ungroupBtn,All,false,"#N/A",906.0,onUngroup,"#N/A","#N/A",Ungroup,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
d390cef9-7e07-47ca-84ae-8c974f21887e,Reset Discounts - Group,Reset Discounts,true,false,resetDiscBtn,All,false,"#N/A",954.0,onResetDiscounts,"#N/A","#N/A",Reset Discounts,Group,"#N/A",Quote Line Editor,1cdb4b2c-5c17-477c-9d43-fecb6c8d49a0,"#N/A","#N/A",Button,"#N/A","#N/A"
e3956f83-3bff-44cc-96a1-be7f53b0516b,Reconfigure Line,Reconfigure Line,true,false,reconfigureBtn,All,false,"#N/A",992.0,onReconfigureLine,sf-icon-custom_apps,custom_apps,Reconfigure Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
f10607c4-c23b-4159-99e4-a8deb50bde54,Desegment Line,Desegment Line,true,false,desegmentBtn,All,false,"#N/A",995.0,onDesegmentLine,sf-icon-magicwand,magicwand,Desegment Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
f7205b1f-0f8e-4f40-b056-a558415ad9c3,Resegment Line,Resegment Line,true,false,resegmentBtn,All,false,"#N/A",996.0,onResegmentLine,sf-icon-magicwand,magicwand,Resegment Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
f8a52024-3bae-4e6d-9e62-3b53c001961f,Quick Save,Quick Save,true,false,quickSaveBtn,All,false,"#N/A",912.0,onQuickSave,"#N/A","#N/A",Quick Save,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
f8ed6e4e-0ae9-4812-9822-b2e724f79e38,Optional: None - Group,Optional: None,true,false,optionalNoneBtn,All,false,"#N/A",953.0,updateLineOptional,"#N/A","#N/A",Optional: None,Group,"#N/A",Quote Line Editor,1cdb4b2c-5c17-477c-9d43-fecb6c8d49a0,"#N/A","#N/A",Button,"#N/A","#N/A"
fbc9fa28-f397-412a-a8f6-62ee0d3d8c37,Optional: All - Group,Optional: All,true,false,optionalAllBtn,All,false,"#N/A",952.0,updateLineOptional,"#N/A","#N/A",Optional: All,Group,"#N/A",Quote Line Editor,1cdb4b2c-5c17-477c-9d43-fecb6c8d49a0,"#N/A","#N/A",Button,"#N/A","#N/A"
