"Guid","Name","SBQQ__BorderColor__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeaderHidden__c","SBQQ__ConditionalPrintField__c","SBQQ__Content__c","SBQQ__DisplayOrder__c","SBQQ__FilterField__c","SBQQ__FilterOperator__c","SBQQ__FilterValue__c","SBQQ__GroupField__c","SBQQ__KeepTogether__c","SBQQ__KeepWithNext__c","SBQQ__KeepWithPrevious__c","SBQQ__PageBreak__c","SBQQ__QuoteTotalsPrinted__c","SBQQ__RollUpField__c","SBQQ__SummaryDisplay__c","SBQQ__Template__c","SBQQ__TopMargin__c"
53a5047f-768f-47b0-b18b-b917772dcf57,Lines,"#N/A",0.0,false,"#N/A",393060a0-1548-4766-bef4-7b2dbf15b53e,20.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",f663e439-197d-4385-ae11-20133fb92723,0.0
cbf5eda9-d8f7-4b34-a655-66370901e137,Top,"#N/A",0.0,false,"#N/A",eedda89b-401e-4f2c-a0d5-1e8e7ed49622,10.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",f663e439-197d-4385-ae11-20133fb92723,0.0
f803e710-bb09-4a6f-9d80-e9b06660f7a3,Bottom,"#N/A",0.0,false,"#N/A",68f4e28f-12fe-4b09-9d2b-804a3a2f533f,30.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",f663e439-197d-4385-ae11-20133fb92723,0.0
