"Guid","Name","SBQQ__Code__c","SBQQ__ConsumptionRateFields__c","SBQQ__ConsumptionScheduleFields__c","SBQQ__GroupFields__c","SBQQ__QuoteFields__c","SBQQ__QuoteLineFields__c","SBQQ__TranspiledCode__c"
1a1ee675-5403-4d1c-a43d-b2f6c513e588,QCP,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
56655eb3-3754-4ed3-ac5b-2b5430eef8a5,QCP4,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
7b56d74a-d69a-41a1-90ea-40390f67f910,QCP3,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
c00c9d7d-f0c6-4b1b-ba64-214731da3f5f,QCP2,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
